instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j1010_1.mm,77,11420,62542,17,Optimal,0.90,No
j1010_10.mm,80,11191,63393,17,Optimal,1.23,No
j1010_2.mm,80,11656,61658,24,Optimal,1.24,No
j1010_3.mm,81,11202,60485,21,Optimal,0.75,No
j1010_4.mm,81,13781,69979,15,Optimal,1.13,No
j1010_5.mm,77,11450,58206,24,Optimal,0.92,No
j1010_6.mm,79,11609,63173,18,Optimal,1.03,No
j1010_7.mm,81,16515,73850,15,Optimal,1.22,No
j1010_8.mm,76,11955,62446,15,Optimal,1.03,No
j1010_9.mm,70,13044,60511,10,Optimal,1.00,No
